fp_bit,functional_groups
fp_846,其他
fp_847,其他
fp_848,其他
fp_849,其他
fp_850,其他
fp_851,其他
fp_852,其他
fp_853,其他
fp_854,其他
fp_855,其他
fp_856,其他
fp_857,其他
fp_858,其他
fp_859,其他
fp_860,其他
fp_861,其他
fp_862,其他
fp_863,其他
fp_864,其他
fp_865,其他
fp_866,其他
fp_867,其他
fp_868,其他
fp_869,其他
fp_870,其他
fp_871,其他
fp_872,其他
fp_873,其他
fp_874,其他
fp_875,其他
fp_876,其他
fp_877,其他
fp_878,其他
fp_879,其他
fp_880,其他
fp_881,其他
fp_882,其他
fp_883,胺基
fp_884,其他
fp_885,其他
fp_886,其他
fp_887,其他
fp_888,胺基
fp_889,其他
fp_890,其他
fp_891,其他
fp_892,其他
fp_893,其他
fp_894,烯烃
fp_895,其他
fp_896,其他
fp_897,其他
fp_898,其他
fp_899,其他
fp_900,其他
fp_901,其他
fp_902,其他
fp_903,其他
fp_904,其他
fp_905,其他
fp_906,其他
fp_907,其他
fp_908,其他
fp_909,其他
fp_910,其他
fp_911,其他
fp_912,其他
fp_913,胺基
fp_914,其他
fp_915,其他
fp_916,其他
fp_917,其他
fp_918,其他
fp_919,其他
fp_920,其他
fp_921,其他
fp_922,其他
fp_923,其他
fp_924,其他
fp_925,其他
fp_926,其他
fp_927,胺基
fp_928,其他
fp_929,其他
fp_930,其他
fp_931,其他
fp_932,其他
fp_933,其他
fp_934,其他
fp_935,其他
fp_936,其他
fp_937,其他
fp_938,其他
fp_939,其他
fp_940,其他
fp_941,其他
fp_942,其他
fp_943,其他
fp_944,其他
fp_945,其他
fp_946,其他
fp_947,其他
fp_948,其他
fp_949,其他
fp_950,其他
fp_951,其他
fp_952,氧负离子
fp_953,其他
fp_954,其他
fp_955,其他
fp_956,其他
fp_957,其他
fp_958,其他
fp_959,其他
fp_960,其他
fp_961,其他
fp_962,其他
fp_963,其他
fp_964,其他
fp_965,其他
fp_966,其他
fp_967,其他
fp_968,其他
fp_969,其他
fp_970,其他
fp_971,其他
fp_972,其他
fp_973,其他
fp_974,其他
fp_975,其他
fp_976,胺基
fp_977,其他
fp_978,其他
fp_979,其他
fp_980,其他
fp_981,胺基
fp_982,其他
fp_983,其他
fp_984,其他
fp_985,其他
fp_986,其他
fp_987,其他
fp_988,其他
fp_989,其他
fp_990,其他
fp_991,其他
fp_992,其他
fp_993,其他
fp_994,其他
fp_995,其他
fp_996,胺基
fp_997,其他
fp_998,其他
fp_999,其他
fp_1000,其他
fp_1001,其他
fp_1002,其他
fp_1003,其他
fp_1004,其他
fp_1005,其他
fp_1006,其他
fp_1007,碘代烷
fp_1008,其他
fp_1009,其他
fp_1010,其他
fp_1011,胺基
fp_1012,其他
fp_1013,其他
fp_1014,其他
fp_1015,其他
fp_1016,其他
fp_1017,甲基
fp_1018,其他
fp_1019,其他
fp_1020,其他
fp_1021,其他
fp_1022,其他
fp_1023,其他
fp_1024,其他
fp_1025,其他
fp_1026,其他
fp_1027,其他
fp_1028,甲基
fp_1029,其他
fp_1030,其他
fp_1031,其他
fp_1032,其他
fp_1033,其他
fp_1034,其他
fp_1035,羧基
fp_1036,其他
fp_1037,其他
fp_1038,其他
fp_1039,其他
fp_1040,其他
fp_1041,其他
fp_1042,其他
fp_1043,其他
fp_1044,其他
fp_1045,末端烯烃或亚甲基
fp_1046,胺基
fp_1047,其他
fp_1048,其他
fp_1049,其他
fp_1050,其他
fp_1051,其他
fp_1052,其他
fp_1053,其他
fp_1054,其他
fp_1055,其他
fp_1056,其他
fp_1057,其他
fp_1058,其他
fp_1059,其他
fp_1060,其他
fp_1061,其他
fp_1062,其他
fp_1063,其他
fp_1064,其他
fp_1065,其他
fp_1066,末端烯烃或亚甲基
fp_1067,其他
fp_1068,其他
fp_1069,其他
fp_1070,其他
fp_1071,其他
fp_1072,其他
fp_1073,羧基
fp_1074,其他
fp_1075,其他
fp_1076,其他
fp_1077,其他
fp_1078,其他
fp_1079,其他
fp_1080,其他
fp_1081,其他
fp_1082,胺基
fp_1083,其他
fp_1084,其他
fp_1085,其他
fp_1086,其他
fp_1087,其他
fp_1088,末端烯烃或亚甲基
fp_1089,其他
fp_1090,其他
fp_1091,其他
fp_1092,其他
fp_1093,其他
fp_1094,其他
fp_1095,其他
fp_1096,其他
fp_1097,其他
fp_1098,其他
fp_1099,其他
fp_1100,其他
fp_1101,其他
fp_1102,其他
fp_1103,其他
fp_1104,其他
fp_1105,其他
fp_1106,其他
fp_1107,其他
fp_1108,铅中心
fp_1109,其他
fp_1110,羧基
fp_1111,其他
fp_1112,其他
fp_1113,其他
fp_1114,其他
fp_1115,其他
fp_1116,其他
fp_1117,其他
fp_1118,其他
fp_1119,其他
fp_1120,其他
fp_1121,其他
fp_1122,其他
fp_1123,其他
fp_1124,其他
fp_1125,其他
fp_1126,其他
fp_1127,其他
fp_1128,其他
fp_1129,其他
fp_1130,其他
fp_1131,其他
fp_1132,其他
fp_1133,其他
fp_1134,其他
fp_1135,其他
fp_1136,其他
fp_1137,其他
fp_1138,胺基
fp_1139,其他
fp_1140,其他
fp_1141,其他
fp_1142,其他
fp_1143,甲基
fp_1144,其他
fp_1145,胺基
fp_1146,其他
fp_1147,其他
fp_1148,其他
fp_1149,其他
fp_1150,其他
fp_1151,其他
fp_1152,胺基
fp_1153,其他
fp_1154,其他
fp_1155,其他
fp_1156,胺基
fp_1157,其他
fp_1158,其他
fp_1159,其他
fp_1160,胺基
fp_1161,其他
fp_1162,其他
fp_1163,其他
fp_1164,其他
fp_1165,其他
fp_1166,胺基
fp_1167,其他
fp_1168,其他
fp_1169,其他
fp_1170,其他
fp_1171,其他
fp_1172,烯烃
fp_1173,其他
fp_1174,其他
fp_1175,其他
fp_1176,其他
fp_1177,其他
fp_1178,其他
fp_1179,其他
