raw_name,importance
Perovskite_additives_concentrations_0.02,0.0018235091
stack_bis-C60,0.001805492
Backcontact_Ag,0.001790218
Perovskite_composition_long_form_FA0.9MA0.1PbBr0.256I0.744,0.0017681987
Perovskite_additives_concentrations_0.08,0.0017606693
ETL_deposition_synthesis_atmosphere_Air,0.0
stack_HTM,0.0
Substrate_cleaning_procedure_-1,0.0
Substrate_cleaning_procedure_Acetone >> Ultrasonic bath >> Methanol >> Ultrasonic bath >> DI Water,0.0
ETL_deposition_solvents_mixing_ratios_1 | 1,0.0
ETL_deposition_aggregation_state_of_reactants_Liquid >> Liquid | Liquid,0.0
ETL_deposition_synthesis_atmosphere_-1,0.0
ETL_deposition_synthesis_atmosphere_Vacuum | Vacuum,0.0
ETL_deposition_synthesis_atmosphere_Air | Air,0.0
ETL_deposition_synthesis_atmosphere_N2 | N2,0.0
stack_Cu,0.0
ETL_deposition_solvents_-1,0.0
ETL_deposition_solvents_Acetyl acetone; IPA | Ethanol,0.0
ETL_deposition_solvents_Chlorobenzene | IPA,0.0
stack_Graphene oxide,0.0
Add_lay_front,0.0
stack_CsSnI2.95F0.05,0.0
stack_Carbon,0.0
stack_CZTS,0.0
stack_-1,0.0
ETL_deposition_solvents_IPA | Ethanol,0.0
HTL_deposition_thermal_annealing_time,0.0
Perovskite_deposition_solvent_annealing_temperature,0.0
Perovskite_deposition_solvent_annealing_time,0.0
Perovskite_deposition_solvents_mixing_ratios_10; 1,0.0
Perovskite_deposition_quenching_media_mixing_ratios,0.0
Perovskite_deposition_substrate_temperature,0.0
Perovskite_composition_perovskite_inspired_structure,0.0
Perovskite_composition_perovskite_ABC3_structure,0.0
stack_ICBA,0.0
Substrate_cleaning_procedure_Acetone >> Ultrasonic bath >> IPA >> Ultrasonic bath >> Ethanol >> Ultrasonic bath,0.0
ETL_deposition_solvents_IPA >> Water | Ethanol,0.0
ETL_deposition_solvents_mixing_ratios_0.6; 0.4; 10 | 1,0.0
ETL_deposition_solvents_IPA | TiO2-np,0.0
Perovskite_composition_long_form_Cs0.2FA0.8PbBr0.9I2.1,0.0
ETL_deposition_procedure_Spin-coating | Evaporation,0.0
ETL_deposition_procedure_Spin-coating | Evaporation | Evaporation,0.0
ETL_deposition_procedure_Spray-pyrolys >> CBD | Spin-coating,0.0
ETL_deposition_procedure_Spray-pyrolys | Spin-coating,0.0
Perovskite_composition_long_form_Cs0.2FA0.8PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.2FA0.8PbBr0.45Cl0.09I2.46,0.0
Perovskite_deposition_solvents_2-methoxyethanol; acetonitrile; NMP; DMF,0.0
ETL_deposition_procedure_Evaporation | Evaporation | ALD | ALD,0.0
Perovskite_deposition_solvents_DMF; DMSO >> DMF; DMSO >> DMSO >> DMSO | IPA,0.0
Perovskite_deposition_solvents_DMF; DMSO >> IPA,0.0
Perovskite_deposition_solvents_DMF; NMP,0.0
Perovskite_deposition_solvents_DMSO,0.0
Perovskite_deposition_solvents_Dimethylacetamide; DMF,0.0
Perovskite_deposition_solvents_n-propylamine,0.0
ETL_deposition_procedure_Evaporation | Evaporation | Spin-coating | ALD | ALD,0.0
ETL_deposition_procedure_Evaporation | Evaporation,0.0
ETL_deposition_solvents_Water,0.0
ETL_deposition_aggregation_state_of_reactants_Gas | Gas,0.0
ETL_deposition_solvents_mixing_ratios_-1,0.0
stack_MoOx,0.0
ETL_deposition_solvents_mixing_ratios_1,0.0
ETL_deposition_aggregation_state_of_reactants_Liquid | Liquid,0.0
ETL_deposition_aggregation_state_of_reactants_Liquid,0.0
Substrate_cleaning_procedure_Soap >> Ultrasonic bath >> Water >> Ultrasonic bath >> Acetone >> Ultrasonic bath >> Ethanol >> Ultrasonic bath >> Plasma,0.0
Substrate_cleaning_procedure_Soap >> Ultrasonic bath >> Water >> Ultrasonic bath >> IPA >> UV-Ozone,0.0
ETL_deposition_procedure_Evaporation,0.0
Substrate_cleaning_procedure_Soap >> Water >> Ultrasonic bath >> Acetone >> Ultrasonic bath >> IPA,0.0
Substrate_cleaning_procedure_Water >> Ultrasonic bath >> Ethanol >> Ultrasonic bath >> heating >> UV-Ozone,0.0
ETL_additives_compounds_-1 | Li-TFSI,0.0
ETL_additives_compounds_Undoped,0.0
ETL_additives_compounds_Undoped | Undoped,0.0
ETL_deposition_procedure_-1,0.0
stack_IZO,0.0
stack_TiO2-np,0.0
Substrate_deposition_procedure_Commercial | Commercial,0.0
Perovskite_composition_long_form_Cs0.1FA0.9PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.1FA0.2MA0.7PbBr0.15I0.85,0.0
Perovskite_composition_long_form_Cs0.1FA0.2MA0.7PbBr0.2I0.8,0.0
Perovskite_composition_long_form_Cs0.1FA0.6MA0.3PbBr0.095I0.905,0.0
Perovskite_composition_long_form_Cs0.1FA0.6MA0.3PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.1FA0.75MA0.15Rb0.05PbI,0.0
Perovskite_composition_long_form_Cs0.1FA0.79MA0.16PbBrI2,0.0
Perovskite_composition_long_form_Cs0.1FA0.9PbBr0.9I2.1,0.0
Perovskite_composition_long_form_Cs0.15FA0.85PbBr0.9I2.1,0.0
Perovskite_composition_long_form_Cs0.22FA0.78PbBr0.15I0.85,0.0
Perovskite_composition_long_form_Cs0.23MA0.77PbI3,0.0
Perovskite_composition_long_form_Cs0.2668FA0.666MA0.0664PbBr0.095I0.905,0.0
Perovskite_composition_long_form_Cs0.2668FA0.666MA0.0664PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.26FA0.74PbBr0.14I0.86,0.0
Perovskite_composition_long_form_Cs0.2FA0.6MA0.2PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.17FA0.83PbBrI2,0.0
